Company,Valuation,Valuation in B,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Finding in M,Select Investors
Dremio,$2B,2,06-01-2021,Data management & analytics,Santa Clara,United States,North America,2015,$410M,410,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
Druva,$2B,2,20-06-2019,Data management & analytics,Sunnyvale,United States,North America,2007,$475M,475,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
Everlaw,$2B,2,10-03-2020,Internet software & services,Oakland,United States,North America,2010,$299M,299,"K9 Ventures, Menlo Ventures, Andreessen Horowitz"
Exotec,$2B,2,17-01-2022,Hardware,Croix,France,Europe,2015,$450M,450,"Breega Capital, Iris Capital, 360 Capital Partners"
Formlabs,$2B,2,01-08-2018,Hardware,Somerville,United States,North America,2011,$251M,251,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Guoquan Shihui,$2B,2,17-03-2021,Consumer & retail,Shanghai,China,Asia,2017,$523M,523,"Tiantu Capital, CMB International Capital, Vision Knight Capital"
Hive,$2B,2,21-04-2021,Artificial intelligence,San Francisco,United States,North America,2013,$121M,121,"Tomales Bay Capital, Bain & Company, General Catalyst"
HuiMin,$2B,2,05-09-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2013,$517M,517,"Zheshang Venture Capital, GP Capital, Western Capital Management"
ISN,$2B,2,17-12-2020,"Supply chain, logistics, & delivery",Dallas,United States,North America,2001,Unknown,,Blackstone
Iterable,$2B,2,15-06-2021,Internet software & services,San Francisco,United States,North America,2013,$342M,342,"CRV, Blue Cloud Ventures, Index Ventures"
Kajabi,$2B,2,04-05-2021,Internet software & services,Irvine,United States,North America,2010,$550M,550,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
Kaseya,$2B,2,27-03-2019,Cybersecurity,Miami,United States,North America,2000,$545M,545,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
Keep,$2B,2,19-05-2020,Mobile & telecommunications,Beijing,China,Asia,2014,$614M,614,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
KRY,$2B,2,27-04-2021,Health,Stockholm,Sweden,Europe,2014,$569M,569,"Index Ventures, Creandum, Accel"
Loggi,$2B,2,05-06-2019,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2013,$507M,507,"Qualcomm Ventures, SoftBank Group, Monashees+"
LTK,$2B,2,22-11-2021,Internet software & services,Dallas,United States,North America,2011,$315M,315,"SoftBank Group, Maverick Capital"
Lunar,$2B,2,12-07-2021,Fintech,Aarhus,Denmark,Europe,2015,$448M,448,"SEED Capital, Greyhound Capital, Socii Capital"
Mafengwo,$2B,2,23-05-2019,Travel,Beijing,China,Asia,2010,$503M,503,"Qiming Venture Partners, Capital Today, General Atlantic"
Magic Leap,$2B,2,21-10-2014,Hardware,Plantation,United States,North America,2010,$3B,3000,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
Misfits Market,$2B,2,21-04-2021,E-commerce & direct-to-consumer,Pennsauken,United States,North America,2018,$527M,527,"Accel, D1 Capita Partners, Greenoaks Capital Management"
Modern Treasury,$2B,2,06-10-2021,Fintech,San Francisco,United States,North America,2018,$183M,183,"Benchmark, Altimeter Capital, Quiet Capital"
MURAL,$2B,2,20-07-2021,Internet software & services,San Francisco,United States,North America,2011,$192M,192,"Insight Partners, Tiger Global Management, Gradient Ventures"
Mynt,$2B,2,01-11-2021,Fintech,Taguig City,Philippines,Asia,2015,$475M,475,"Insight Partners, Warburg Pincus, Ayala Corporation"
Neo4j,$2B,2,17-06-2021,Data management & analytics,San Mateo,United States,North America,2007,$408M,408,"Eight Roads Ventures, One Peak Partners, Creandum"
Netlify,$2B,2,17-11-2021,Internet software & services,San Francisco,United States,North America,2014,$202M,202,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
OCSiAl,$2B,2,04-03-2019,Other,Leudelange,Luxembourg,Europe,2012,$285M,285,"A&NN, Rusnano"
Opay,$2B,2,23-08-2021,Fintech,Lagos,Nigeria,Africa,2018,$570M,570,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China"
Pipe,$2B,2,19-05-2021,Fintech,Miami,United States,North America,2019,$566M,566,"next47, MaC Venture Capital, FinVC"
Preferred Networks,$2B,2,17-05-2018,Artificial intelligence,Tokyo,Japan,Asia,2014,$147M,147,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Quora,$2B,2,21-04-2017,Internet software & services,Mountain View,United States,North America,2009,$226M,226,"Y Combinator, Matrix Partners, Benchmark"
Redis Labs,$2B,2,25-08-2020,Data management & analytics,Mountain View,United States,North America,2011,$356M,356,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
SmartNews,$2B,2,05-08-2019,Mobile & telecommunications,Tokyo,Japan,Asia,2012,$410M,410,"Japan Post Capital, Globis Capital Partners, Atomico"
Spring Health,$2B,2,16-09-2021,Health,New York,United States,North America,2016,$296M,296,"Rethink Impact, Work-Bench, RRE Ventures"
StarkWare,$2B,2,17-11-2021,Cybersecurity,Netanya,Israel,Asia,2018,$161M,161,"Sequoia Capital, Paradigm, Pantera Capital"
SWORD Health,$2B,2,22-11-2021,Health,New York,United States,North America,2015,$296M,296,"Khosla Ventures, Green Innovations, Founders Fund"
Tier,$2B,2,25-10-2021,Travel,Berlin,Germany,Europe,2018,$587M,587,"Northzone Ventures, White Star Capital, Novator Partners"
Trendy Group International,$2B,2,13-02-2012,Consumer & retail,Kowloon,Hong Kong,Asia,1999,$200M,200,L Capital Partners
Unqork,$2B,2,06-10-2020,Fintech,New York,United States,North America,2017,$365M,365,"Blackrock, capitalG, World Lab Innovation"
VerbIT,$2B,2,08-06-2021,Artificial intelligence,New York,United States,North America,2016,$432M,432,"ClalTech, Vertex Ventures, Oryzn Capital"
Virta Health,$2B,2,02-12-2020,Health,San Francisco,United States,North America,2015,$373M,373,"Caffeinated Capital, Obvious Ventures, Venrock"
Xinchao Media,$2B,2,09-04-2018,Internet software & services,Chengdu,China,Asia,2007,$768M,768,"JD.com, Baidu, Vision Plus Capital"
Xingyun Group,$2B,2,24-09-2020,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2015,$950M,950,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings"
XtalPi,$2B,2,11-08-2021,Artificial intelligence,Shenzhen,China,Asia,2014,$786M,786,"Tencent Holdings, 5Y Capital, Sequoia Capital China"
Zilch,$2B,2,10-11-2021,Fintech,London,United Kingdom,Europe,2018,$339M,339,"Gauss Ventures, Ventura Capital, dmg ventures"
56PINGTAI,$1B,1,25-01-2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2013,$188M,188,"QF Capital, QC Capital, Unicom Innovation Venture Capital"
Alzheon,$1B,1,30-09-2020,Health,Framingham,United States,North America,2013,$94M,94,"ARCH Venture Partners, Ally Bridge Group"
Aprogen,$1B,1,31-05-2019,Health,Seongnam-Si,South Korea,Asia,2000,$62M,62,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical"
Axtria,$1B,1,13-05-2021,Data management & analytics,Berkeley Heights,United States,North America,2009,$206M,206,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
Cell C,$1B,1,07-08-2017,Mobile & telecommunications,Midrand,South Africa,Africa,2000,$547M,547,"Blue Label Telecoms, Net1 UEPS Technologies"
China Cloud,$1B,1,11-06-2018,Hardware,Wuxi,China,Asia,2010,$523M,523,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management"
CredAvenue,$1B,1,07-03-2022,Fintech,Chennai,India,Asia,2017,$227M,227,"Insight Partners, B Capital Group, Lightspeed Venture Partners"
DeepBlue Technology,$1B,1,16-04-2018,Artificial intelligence,Shanghai,China,Asia,2014,$79M,79,"DESUN Capital, Yunfeng Capital, Meridian Capital"
dMed Biopharmaceutical,$1B,1,12-07-2021,Health,Shanghai,China,Asia,2016,$214M,214,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China"
Einride,$1B,1,31-12-2021,Auto & transportation,Stockholm,Sweden,Europe,2016,$151M,151,"Temasek, BUILD Capital Partners, Northzone Ventures"
EQRx,$1B,1,11-01-2021,Health,Cambridge,United States,North America,2020,$700M,700,"Nextech Invest, Casdin Capital, Google Ventures"
Everly Health,$1B,1,03-12-2020,E-commerce & direct-to-consumer,Austin,United States,North America,2015,$231M,231,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures"
Fair,$1B,1,20-12-2018,Auto & transportation,Santa Monica,United States,North America,2016,$2B,2000,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group"
Flipboard,$1B,1,22-07-2015,Internet software & services,Palo Alto,United States,North America,2010,$211M,211,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners"
Globality,$1B,1,22-01-2019,Artificial intelligence,Menlo Park,United States,North America,2015,$310M,310,SoftBank Group
Hosjoy,$1B,1,18-10-2018,E-commerce & direct-to-consumer,Nanjing,China,Asia,2009,$139M,139,"U.S.-China Green Fund, Founder H Fund, Richland Equities"
Huisuanzhang,$1B,1,24-05-2021,Fintech,Beijing,China,Asia,2015,$227M,227,"IDG Capital, Gaocheng Capital, Chuanrong Capital"
HuJiang,$1B,1,29-10-2015,Edtech,Shanghai,China,Asia,2001,$223M,223,"China Minsheng Investment, Baidu, Wanxin Media"
Hyperchain,$1B,1,11-04-2021,Fintech,Hangzhou,China,Asia,2016,$249M,249,"Yinhong Equity Investment Fund, E Fund, Ideal International"
iTutorGroup,$1B,1,18-11-2015,Edtech,Shanghai,China,Asia,1998,$315M,315,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
JimuBox,$1B,1,21-04-2015,Fintech,Beijing,China,Asia,2013,$131M,131,"Matrix Partners China, Ventech China, Shunwei Capital Partners"
Juma Peisong,$1B,1,26-11-2018,"Supply chain, logistics, & delivery",Chengdu,China,Asia,2011,$281M,281,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital"
Justworks,$1B,1,28-01-2020,Internet software & services,New York,United States,North America,2012,$143M,143,"Index Ventures, Thrive Capital, Bain Capital Ventures"
Keenon Robotics,$1B,1,15-09-2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2010,$229M,229,"Yunqi Partners, SoftBank Group, iVision Ventures"
Kuaigou Dache,$1B,1,13-07-2018,"Supply chain, logistics, & delivery",Tianjin,China,Asia,2014,$650M,650,"Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds"
LifeMiles,$1B,1,13-07-2015,Other,Bogota,Colombia,South America,2011,$344M,344,Advent International
LinkSure Network,$1B,1,01-01-2015,Mobile & telecommunications,Shanghai,China,Asia,2013,$52M,52,N/A
MobiKwik,$1B,1,13-10-2021,Fintech,Gurugram,India,Asia,2009,$249M,249,"Sequoia Capital India, The Times Group, GMO VenturePartners"
Modernizing Medicine,$1B,1,10-05-2017,Health,Boca Raton,United States,North America,2010,$394M,394,"Warburg Pincus, Summit Partners, Sands Capital"
OVH,$1B,1,15-08-2016,Other,Roubaix,France,Europe,1999,$1B,1000,"KKR, TowerBrook Capital Partners"
Phenom People,$1B,1,07-04-2021,Internet software & services,Ambler,United States,North America,2011,$163M,163,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures"
Pipa Coding,$1B,1,25-03-2021,Edtech,Beijing,China,Asia,2017,$268M,268,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management"
Qingting FM,$1B,1,02-06-2021,Internet software & services,Shanghai,China,Asia,2011,$164M,164,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group"
Rad Power Bikes,$1B,1,28-10-2021,Auto & transportation,Seattle,United States,North America,2007,$329M,329,"Durable Capital Partners, Cercano Management, T. Rowe Price"
Shukun Technology,$1B,1,16-08-2021,Artificial Intelligence,Beijing,China,Asia,2017,$211M,211,"Marathon Venture Partners, Huagai Capital, China Creation Ventures"
Shulan Health,$1B,1,01-03-2021,Health,Hangzhou,China,Asia,2015,$43M,43,Qiming Venture Partners
SITECH DEV,$1B,1,16-05-2019,Other,Guiyang,China,Asia,2017,Unknown,,China Prosperity Capital
Snapdeal,$1B,1,21-05-2014,E-commerce & direct-to-consumer,New Delhi,India,Asia,2008,$2B,2000,"SoftBankGroup, Blackrock, Alibaba Group"
SumUp,$1B,1,16-07-2019,Fintech,London,United Kingdom,Europe,2011,$1B,1000,"American Express Ventures, Goldman Sachs, Bain Capital Credit"
TalkingData,$1B,1,06-01-2021,Mobile & telecommunications,Beijing,China,Asia,2013,$310M,310,"N5 Capital, CR Capital Mgmt, JD Digits"
TUNGEE,$1B,1,15-12-2021,Artificial Intelligence,Guangzhou,China,Asia,2016,$171M,171,"UNITY VENTURES, Qiming Venture Partners, GGV Capital"
UISEE Technology,$1B,1,25-01-2021,"Supply chain, logistics, & delivery",Beijing,China,Asia,2016,$154M,154,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures"
Valgen Medtech,$1B,1,06-05-2021,Health,Hangzhou,China,Asia,2015,$188M,188,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners"
Vectra Networks,$1B,1,29-04-2021,Artificial intelligence,San Jose,United States,North America,2011,$352M,352,"IA Ventures, Khosla Ventures, AME Cloud Ventures"
Venafi,$1B,1,10-12-2020,Cybersecurity,Salt Lake City,United States,North America,2000,$174M,174,"Pelion Venture Partners, Foundation Capital, Thoma Bravo"
Wacai,$1B,1,18-07-2018,Mobile & telecommunications,Hangzhou,China,Asia,2009,$369M,369,"Qiming Venture Partners, China Broadband Capital, CDH Investments"
WeBull,$1B,1,18-02-2021,Fintech,Changsha,China,Asia,2016,$230M,230,"Bojiang Capital, Hongdao Capital, Mobai Capital"
WTOIP,$1B,1,08-04-2018,Internet software & services,Guangzhou,China,Asia,2013,$307M,307,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital"
Xiaobing,$1B,1,12-07-2021,Fintech,Beijing,China,Asia,2020,Unknown,,"NetEase Capital, Northern Light Venture Capital, Microsoft"
Xiaoe Tech,$1B,1,15-06-2021,Internet software & services,Shenzhen,China,Asia,2015,$149M,149,"GGV Capital, Hillhouse Capital Management, IDG Capital"
Yiguo,$1B,1,09-11-2016,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2005,$800M,800,"Alibaba Group, KKR, Goldman Sachs"
Yimidida,$1B,1,14-01-2019,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$554M,554,"Source Code Capital, Global Logistic Properties, K2VC"
Yipin Shengxian,$1B,1,11-03-2019,E-commerce & direct-to-consumer,Hefei,China,Asia,2017,$658M,658,"Eastern Bell Capital, Capital Today, Longzhu Capital"
Ynsect,$1B,1,21-02-2019,Other,Evry,France,Europe,2011,$393M,393,"Astanor Ventures, Upfront Ventures, IDInvest Partners"
Hello TransTech,$1B,1,01-06-2018,Auto & transportation,Shanghai,China,Asia,2016,$2B,2000,"Ant Financial Services Group, GGV Capital"
Miaoshou Doctor,$1B,1,27-06-2019,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$947M,947,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
ECARX,$1B,1,26-10-2020,Auto & transportation,Wuhan,China,Asia,2016,$394M,394,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund"
Eat Just,$1B,1,30-11-2017,Consumer & retail,San Francisco,United States,North America,2011,$440M,440,"Khosla Ventures, Horizons Ventures, Founders Fund"
Trumid,$1B,1,15-07-2020,Fintech,New York,United States,North America,2014,$660M,660,"T. Rowe Price, Dragoneer Investment Group, BlackRock"
Qualia,$1B,1,21-12-2020,Fintech,San Francisco,United States,North America,2015,$160M,160,"8VC, Menlo Ventures, Tiger Global Management"
Beisen,$1B,1,11-05-2021,Internet software & services,Beijing,China,Asia,2002,$388M,388,"Matrix Partners China, Sequoia Capital China, Genesis Capital"
Earnix,$1B,1,21-02-2021,Fintech,Giv'atayim,Israel,Asia,2001,$98M,98,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners"
Kujiale,$1B,1,25-10-2019,Internet software & services,Hangzhou,China,Asia,2011,$235M,235,"GGV Capital, IDG Capital, Linear Venture"
Orca Security,$1B,1,23-03-2021,Cybersecurity,Portland,United States,North America,2019,$632M,632,"YL Ventures, Redpoint Ventures, GGV Capital"
Apus Group,$1B,1,16-01-2015,Mobile & telecommunications,Beijing,China,Asia,2014,$116M,116,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Forte Labs,$1B,1,12-05-2021,Fintech,San Francisco,United States,North America,2018,$910M,910,"Iris Capital, Accel, Elaia Partners"
CureFit,$1B,1,10-11-2021,Health,Bengaluru,India,Asia,2016,$665M,665,"Chiratae Ventures, Accel, Kalaari Capital"
DT Dream,$1B,1,08-06-2017,Data management & analytics,Hangzhou,China,Asia,2015,$267M,267,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
fabric,$1B,1,24-02-2022,E-commerce & direct-to-consumer,Bellevue,United States,North America,2017,$294M,294,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures"
JOLLY Information Technology,$1B,1,29-05-2018,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2008,$96M,96,"Legend Capital, CDH Investments, Sequoia Capital China"
K Health,$1B,1,19-01-2021,Health,New York,United States,North America,2016,$271M,271,"Max Ventures, Mangrove Capital Partners, 14W"
Mofang Living,$1B,1,13-04-2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2009,$650M,650,"Warburg Pincus, Aviation Industry Corporation of China"
Spendesk,$1B,1,18-01-2022,Fintech,Paris,France,Europe,2015,$314M,314,"Index Ventures, Eight Roads Ventures, General Atlantic"
TaxBit,$1B,1,04-08-2021,Fintech,Draper,United States,North America,2018,$236M,236,"Insight Partners, Coinbase Ventures, PayPal Ventures"
XiaoZhu,$1B,1,01-11-2017,Travel,Beijing,China,Asia,2012,$572M,572,"Morningside Ventures, Capital Today, JOY Capital"
Yijiupi,$1B,1,20-09-2018,Consumer & retail,Beijing,China,Asia,2014,$511M,511,"Source Code Capital, Meituan Dianping, Tencent Holdings"
YunQuNa,$1B,1,29-06-2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$207M,207,"Source Code Capital, Coatue Management, DCM Ventures"
Bordrin Motors,$1B,1,03-06-2019,Auto & transportation,Shanghai,China,Asia,2016,$362M,362,"China Grand Prosperity Investment, CSC Group"
Aleo,$1B,1,07-02-2022,Cybersecurity,San Francisco,United States,North America,2019,$228M,228,"Slow Ventures, Andreessen Horowitz, SoftBank Group"
Coocaa,$1B,1,16-03-2018,Hardware,Shenzhen,China,Asia,2006,$218M,218,"Baidu, Tencent Holdings"
Gymshark,$1B,1,14-08-2020,E-commerce & direct-to-consumer,Solihull,United Kingdom,Europe,2012,$262M,262,General Atlantic
M1 Finance,$1B,1,14-07-2021,Fintech,Chicago,United States,North America,2015,$323M,323,"Left Lane Capital, Clocktower Technology Ventures, Jump Capital"
Ouyeel,$1B,1,27-06-2019,Internet software & services,Shanghai,China,Asia,2015,$432M,432,Taigang Venture Capital
SonderMind,$1B,1,28-07-2021,Health,Denver,United States,North America,2014,$183M,183,"Kickstart Fund, General Catalyst, Drive Capital"
Astranis Space Technologies,$1B,1,14-04-2021,Mobile & telecommunications,San Francisco,United States,North America,2015,$303M,303,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund"
Away,$1B,1,15-05-2019,E-commerce & direct-to-consumer,New York,United States,North America,2015,$181M,181,"Global Founders Capital, Comcast Ventures, Forerunner Ventures"
Cabify,$1B,1,22-01-2018,Auto & transportation,Madrid,Spain,Europe,2011,$407M,407,"Seaya Ventures, Otter Rock Capital, Rakuten"
Clarify Health,$1B,1,05-04-2022,Health,San Francisco,United States,North America,2015,$328M,328,"KKR, Aspenwood Ventures, Spark Capital"
Coda,$1B,1,08-07-2021,Internet software & services,Mountain View,United States,North America,2014,$240M,240,"Greylock Partners, General Catalyst, Khosla Ventures"
Deezer,$1B,1,02-08-2018,Internet software & services,Paris,France,Europe,2007,$532M,532,"Orange Digital Ventures, Access Industries"
Degreed,$1B,1,13-04-2021,Edtech,Pleasanton,United States,North America,2012,$318M,318,"Signal Peak Ventures, Owl Ventures, Jump Capital"
Deliverect,$1B,1,24-01-2022,Fintech,Ghent,Belgium,Europe,2018,$237M,237,"Newion Partners, SmartFin Capital, OMERS Ventures"
Envoy,$1B,1,11-01-2022,Internet software & services,San Francisco,United States,North America,2013,$170M,170,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital"
Epidemic Sound,$1B,1,11-03-2021,Internet software & services,Stockholm,Sweden,Europe,2009,$509M,509,"EQT Partners, Blackstone"
Figment,$1B,1,20-12-2021,Internet software & services,Toronto,Canada,North America,2018,$165M,165,"Bonfire Ventures, Two Sigma Ventures, FJ Labs"
Firebolt,$1B,1,26-01-2022,Data management & analytics,Tel Aviv,Israel,Asia,2019,$264M,264,"TLV Partners, Zeev Ventures, Bessemer Venture Partners"
Five Star Business Finance,$1B,1,26-03-2021,Other,Chennai,India,Asia,1984,$456M,456,"Sequoia Capital India, Tiger Global Management, Tencent"
GupShup,$1B,1,08-04-2021,Internet software & services,San Francisco,United States,North America,2011,$384M,384,"Helion Venture Partners, Tiger Global management, CRV"
Kong,$1B,1,31-12-2020,Internet software & services,San Francisco,United States,North America,2007,$169M,169,"New Enterprise Associates, CRV, Index Ventures"
Koudai,$1B,1,23-10-2014,E-commerce & direct-to-consumer,Beijing,China,Asia,2010,$368M,368,"New Enterprise Associates, Tiger Global management, Tencent"
Panther Labs,$1B,1,02-12-2021,Cybersecurity,San Francisco,United States,North America,2018,$141M,141,"Innovation Endeavors, s28 Capital, Lightspeed Venture Partners"
Papa,$1B,1,04-11-2021,Health,Miami,United States,North America,2016,$241M,241,"Initialized Capital, Canaan Partners, Sound Ventures"
Pristyn Care,$1B,1,07-12-2021,Health,Gurugram,India,Asia,2018,$177M,177,"Sequoia Capital India, Hummingbird Ventures, Epiq Capital"
Rebel Foods,$1B,1,07-10-2021,E-commerce & direct-to-consumer,Pune,India,Asia,2011,$521M,521,"Sequoia Capital India, Lightbox Ventures, Coatue Management"
Salt Security,$1B,1,10-02-2022,Cybersecurity,Palo Alto,United States,North America,2016,$271M,271,"Y Combinator, S Capital, Tenaya Capital"
Scalable Capital,$1B,1,08-06-2021,Fintech,Munich,Germany,Europe,2014,$314M,314,"BlackRock, Tengelmann Ventures, Holtzbrinck Ventures"
SparkCognition,$1B,1,25-01-2022,Artificial intelligence,Austin,United States,North America,2013,$286M,286,"March Capital Partners, Temasek, Doha Venture Capital"
Stash,$1B,1,03-02-2021,Fintech,New York,United States,North America,2015,$426M,426,"Goodwater Capital, Entree Capital, Valar Ventures"
Symphony,$1B,1,16-05-2017,Fintech,New York,United States,North America,2014,$511M,511,"BNP Paribas, Goldman Sachs, Google"
Tripledot,$1B,1,14-02-2022,Mobile & telecommunications,London,United Kingdom,Europe,2017,$202M,202,"Lightspeed Venture Partners, Access Industries, Eldridge"
VideoAmp,$1B,1,21-10-2021,Internet software & services,Los Angeles,United States,North America,2014,$382M,382,"Simon Equity Partners, Wavemaker Partners, Anthem Venture Partners"
Yidian Zixun,$1B,1,17-10-2017,Mobile & telecommunications,Beijing,China,Asia,2021,$151M,151,"Phoenix New Media, Tianjin Haihe Industry Fund"
Yotpo,$1B,1,18-03-2021,Internet software & services,New York,United States,North America,2011,$436M,436,"Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital"
Neon,$1B,1,14-02-2022,Fintech,Sao Paulo,Brazil,South America,2016,$720M,720,"Propel Venture Partners, Monashees+, BBVA"
Veepee,$1B,1,02-07-2007,E-commerce & direct-to-consumer,La Plaine Saint-Denis,France,Europe,2001,Unknown,,"Summit Partners, Qatar Holding"
Alloy,$1B,1,30-09-2021,Fintech,New York,United States,North America,2015,$156M,156,"Bessemer Venture Partners, Eniac Ventures, Canapi Ventures"
Epirus,$1B,1,14-02-2022,Other,Hawthorne,United States,North America,2018,$287M,287,"8VC, Bedrock Capital, Broom Ventures"
Klook,$1B,1,07-08-2018,Travel,Central,Hong Kong,Asia,2014,$722M,722,"Sequoia Capital China, Goldman Sachs, Matrix Partners China"
Yaoshibang,$1B,1,15-06-2021,Health,Guangzhou,China,Asia,2015,$496M,496,"Green Pine Capital Partners, Ivy Capital, DCM Ventures"
Signifyd,$1B,1,15-04-2021,Fintech,San Jose,United States,North America,2011,$390M,390,"Menlo Ventures, Resolute Ventures, IA Ventures"
Motorway,$1B,1,29-11-2021,E-commerce & direct-to-consumer,London,United Kingdom,Europe,2017,$276M,276,"Marchmont Ventures, BMW i Ventures, Index Ventures"
RIDI,$1B,1,24-01-2022,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2008,$178M,178,"Atinum Investment, Company K Partners, GIC"
Athletic Greens,$1B,1,25-01-2022,Health,New York,United States,North America,2010,$115M,115,"SC.Holdings, Not Boring Capital, Bolt Ventures"
GPclub,$1B,1,22-10-2018,Other,Seoul,South Korea,Asia,2003,$67M,67,Goldman Sachs
Grove Collaborative,$1B,1,06-09-2019,E-commerce & direct-to-consumer,San Francisco,United States,North America,2016,$475M,475,"MHS Capital, NextView Ventures, Mayfield Fund"
Tongdun Technology,$1B,1,25-04-2019,Cybersecurity,Hangzhou,China,Asia,2013,$252M,252,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co."
Unisound,$1B,1,19-07-2018,Artificial intelligence,Beijing,China,Asia,2012,$361M,361,"Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures"
Betterment,$1B,1,29-09-2021,Fintech,New York,United States,North America,2010,$335M,335,"Bessemer Venture Partners, Menlo Ventures, Anthermis"
Cava Group,$1B,1,27-04-2021,Other,Washington,United States,North America,2010,$738M,738,"SWaN & Legend Ventures, Revolution Growth, Invus Group"
CoinTracker,$1B,1,27-01-2022,Fintech,San Francisco,United States,North America,2017,$102M,102,"Initialized Capital, General Catalyst, Kraken Ventures"
DistroKid,$1B,1,16-08-2021,Internet software & services,New York,United States,North America,2013,Unknown,,"Insight Partners, Silversmith Capital Partners, Spotify"
Domestika,$1B,1,27-01-2022,Internet software & services,Berkeley,United States,North America,2012,$130M,130,"Zeev Ventures, GSV Ventures"
Flock Freight,$1B,1,20-10-2021,"Supply chain, logistics, & delivery",Encinitas,United States,North America,2015,$399M,399,"SignalFire, GLP Capital Partners, Google Ventures"
InSightec,$1B,1,06-03-2020,Health,Tirat Carmel,Israel,Asia,1999,$633M,633,"York Capital Management, GE Healthcare, Koch Disruptive Technologies"
Island,$1B,1,23-03-2022,Internet software & services,Dallas,United States,North America,2020,$215M,215,"Insight Partners, Sequoia Capital, Stripes Group"
iTrustCapital,$1B,1,11-01-2022,Fintech,Long Beach,United States,North America,2018,$128M,128,"Left Lane Capital, Walden Venture Capital"
Konfio,$1B,1,29-09-2021,Fintech,Mexico City,Mexico,North America,2013,$378M,378,"Kaszek Ventures, QED Investors, International Finance Corporation"
LinkTree,$1B,1,16-03-2022,Internet software & services,Melbourne,Australia,Oceania,2016,$166M,166,"AirTree Ventures, Insight Partners, Index Ventures"
Loadsmart,$1B,1,01-02-2022,"Supply chain, logistics, & delivery",New York,United States,North America,2014,$336M,336,"Chromo Invest, Maersk Growth, BlackRock"
Lukka,$1B,1,14-01-2022,Fintech,New York,United States,North America,2014,$201M,201,"Liberty City Ventures, Soros Fund Management, Summer Capital"
Manner,$1B,1,24-12-2020,Other,Shanghai,China,Asia,2015,$10M,10,"Coatue Management, H Capital, Capital Today"
The Brandtech Group,$1B,1,19-11-2019,Other,New York,United States,North America,2015,$610M,610,Undisclosed
TravelPerk,$1B,1,12-01-2022,Travel,Barcelona,Spain,Europe,2015,$408M,408,"LocalGlobe, Kinnevik, Felix Capital"
